,Unnamed: 0,tic,high,low,open,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,date
960,960,BVH,0.152380952,0.164433618,0.163438257,0.162846803,0.04400753,0.40377492,0.18725143,0.219641119,0.450768449,0.312553179,0.209248154,0.168254573,0.159997004,0.043371849,0.018770644,2013-12-26
961,961,BVH,0.152380952,0.163215591,0.16464891,0.160434258,0.027728657,0.402070132,0.184595144,0.218705061,0.442866373,0.309512741,0.230517429,0.167778201,0.159797289,0.045139356,0.01136848,2013-12-27
962,962,BVH,0.146428571,0.15225335,0.159806295,0.150784077,0.066240799,0.396723349,0.18390112,0.215122996,0.412914045,0.26084522,0.388704178,0.16677782,0.159123249,0.060095173,0.019499795,2013-12-30
963,963,BVH,0.144047619,0.153471376,0.152542373,0.154402895,0.046427363,0.394559627,0.180487593,0.214410769,0.427923554,0.280324405,0.388704178,0.165920351,0.158623961,0.062270561,0.015933049,2013-12-31
964,964,BVH,0.146428571,0.15590743,0.156174334,0.154402895,0.018178357,0.39328472,0.177204604,0.213955291,0.427923554,0.301341302,0.319773701,0.165110518,0.158274459,0.06920461,0.01776726,2014-01-02
965,965,BVH,0.144047619,0.15590743,0.158595642,0.155609168,0.018229123,0.393263938,0.17466211,0.213434336,0.433093682,0.309387877,0.319773701,0.16439596,0.158124672,0.062814409,0.020605658,2014-01-03
966,966,BVH,0.15,0.157125457,0.158595642,0.160434258,0.034110331,0.395855664,0.171364834,0.214377426,0.453529736,0.340336867,0.155859303,0.163776677,0.158049779,0.059959208,0.028691011,2014-01-06
967,967,BVH,0.153571429,0.163215591,0.162227603,0.161640531,0.047226923,0.398834996,0.167335039,0.216343281,0.458577342,0.365433578,0.070568984,0.16253811,0.158149637,0.051393605,0.030804384,2014-01-07
968,968,BVH,0.151190476,0.163215591,0.163438257,0.161640531,0.031478975,0.401540826,0.163993766,0.218030162,0.458577342,0.364175276,0.070568984,0.161108994,0.158174601,0.050713792,0.039916095,2014-01-08
969,969,BVH,0.153571429,0.161997564,0.163438257,0.166465621,0.088655978,0.406174463,0.163711691,0.218094549,0.47917041,0.380467909,0.013588178,0.159775152,0.158124672,0.050985723,0.018468907,2014-01-09
