,Unnamed: 0,high,low,open,close,volume,tic,date,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
715,715,34.9,34.5,34.8,34.9,171620,BVH,2010-01-25,0.7226936004082987,35.974556994832405,29.265443005167597,65.3743781483848,116.3146617692072,18.20637868615029,32.233333333333334,32.233333333333334,25.40999984741211,0.0
749,749,35.5,35.1,35.5,35.5,142040,BVH,2010-01-26,0.7800637056965698,36.246967215013655,29.54303278498634,66.94084463043487,128.79992930364097,23.93042697141389,32.364000000000004,32.364000000000004,24.549999237060547,0.0
783,783,35.5,34.5,35.5,34.5,150780,BVH,2010-01-27,0.7453651796775489,36.33176689963653,29.848233100363476,62.0972488623928,98.91304347826096,15.304721235231913,32.44615384615385,32.44615384615385,23.13999938964844,0.0
817,817,35.2,34.5,34.5,35.2,190950,BVH,2010-01-28,0.7592378643092204,36.58249039028778,29.907509609712218,63.9843255608464,97.30246389124912,15.304721235231913,32.548148148148144,32.548148148148144,23.729999542236328,0.0
851,851,35.5,35.1,35.2,35.5,149100,BVH,2010-01-29,0.7826569709354914,36.72786804451391,30.25213195548608,64.76213792230298,105.24974515800209,18.543919975221662,32.653571428571425,32.653571428571425,24.6200008392334,0.0
885,885,36.0,35.7,36.0,36.0,155650,BVH,2010-02-01,0.8278708287569287,37.02011413881166,30.37988586118835,66.02712923357116,116.59793814433002,23.7401322711144,32.76896551724138,32.76896551724138,22.59000015258789,0.0
919,919,36.4,35.7,36.0,36.4,102760,BVH,2010-02-02,0.8826110150545716,37.347197719788944,30.492802280211052,67.00731610434866,118.01242236024832,27.685112041237943,32.89,32.89,21.479999542236328,0.0
953,953,38.0,36.7,36.7,38.0,264120,BVH,2010-02-03,1.0321582918766057,37.96658705420719,30.48341294579281,70.52613541013159,154.83870967741953,40.78343344811849,33.190000000000005,33.05483870967742,21.600000381469727,0.0
987,987,38.4,38.0,38.0,38.2,175140,BVH,2010-02-04,1.1517881354214552,38.458462807268006,30.67153719273199,70.92709537692315,164.45321393336852,43.51747873754429,33.47333333333333,33.215625,26.07999992370605,0.0
1021,1021,38.2,37.4,38.2,38.2,204660,BVH,2010-02-05,1.2319869015752118,38.83580059400751,30.964199405992485,70.92709537692315,145.32547045787507,33.62499938004318,33.71,33.36666666666667,26.11000061035156,0.0
1055,1055,38.2,37.9,38.0,38.2,108030,BVH,2010-02-08,1.2804754085886785,39.09206460516563,31.377935394834363,70.92709537692315,140.80618442849257,33.62499938004318,33.93666666666666,33.508823529411764,26.51000022888184,0.0
1089,1089,38.1,37.6,37.6,38.0,216700,BVH,2010-02-09,1.2886689275949834,39.05404084089217,32.12595915910782,69.87476033769042,126.76473857783378,28.561971976570533,34.20333333333333,33.637142857142855,26.0,0.0
1123,1123,39.5,38.4,38.5,39.5,178290,BVH,2010-02-10,1.3930407753351872,39.48691443921752,32.4030855607825,72.98459859112498,157.78369975571843,39.91824111992116,34.5,33.8,25.399999618530277,0.0
1157,1157,41.4,39.5,40.0,41.4,325360,BVH,2010-02-11,1.6021823997216489,40.4907571012239,32.13924289877611,76.2034889016167,193.19148936170197,51.17761986015381,34.809999999999995,34.005405405405405,23.959999084472656,0.0
1191,1191,43.4,42.3,43.0,43.4,388970,BVH,2010-02-12,1.8990972587681012,41.92132818090032,31.54867181909968,78.93640834821485,231.8007662835248,59.67986881007237,35.236666666666665,34.252631578947366,22.729999542236328,0.0
1225,1225,45.5,45.0,45.5,45.2,368570,BVH,2010-02-22,2.2466778073428277,43.49513115069454,31.164868849305456,80.97107625490825,249.83486027743464,66.27241409134756,35.68333333333333,34.53333333333333,19.940000534057617,0.0
1259,1259,44.5,43.0,44.5,43.0,395140,BVH,2010-02-23,2.3248830758595176,44.27153692324862,31.21846307675139,72.15815371009508,179.25199652091402,42.544664615477615,36.05,34.745,21.3700008392334,0.0
1293,1293,42.5,40.9,42.5,40.9,495890,BVH,2010-02-24,2.198491274042425,44.577470941869706,31.502529058130303,65.1555241182829,117.82615314355311,22.8650065162849,36.35,34.895121951219515,20.270000457763672,0.0
1327,1327,42.9,41.0,41.0,42.9,328580,BVH,2010-02-25,2.22806901760562,45.10232911379445,31.83767088620554,68.19631876392012,123.92410015649452,24.974035566770013,36.73333333333333,35.08571428571428,20.100000381469727,0.0
1361,1361,45.0,42.2,42.9,45.0,326410,BVH,2010-02-26,2.387559097405493,45.958204041697854,32.03179595830214,70.94998947574116,147.70655070837435,34.954910819573726,37.18333333333333,35.31627906976744,19.5,0.0
1395,1395,45.6,45.0,45.0,45.5,302320,BVH,2010-03-01,2.523726784733576,46.78320769524888,32.266792304751114,71.55657285089441,159.2537515208869,37.49454190748936,37.65,35.54772727272727,19.26000022888184,0.0
1429,1429,44.5,43.3,44.0,43.3,169020,BVH,2010-03-02,2.431041274289832,47.10044581629764,32.72955418370236,65.34590217982507,116.25198754842896,22.95461203332588,38.06333333333334,35.72,19.059999465942383,0.0
1463,1463,44.0,42.4,43.3,42.9,217660,BVH,2010-03-03,2.299582159089894,47.160733043340414,33.50926695665957,64.29627433252696,95.42633775755849,16.011786496805204,38.41333333333333,35.87608695652174,18.82999992370605,0.0
1497,1497,43.5,42.7,42.9,42.9,135390,BVH,2010-03-04,2.170320573914381,47.18532451255416,34.25467548744585,64.29627433252696,86.19943759463557,16.011786496805215,38.71,36.02553191489362,18.71999931335449,0.0
1531,1531,43.1,42.0,42.9,42.9,99880,BVH,2010-03-05,2.044262291241175,47.130529778090846,35.04947022190916,64.29627433252696,73.02469795787434,10.467947176338138,38.97333333333333,36.16875,17.420000076293945,0.0
1565,1565,43.5,42.9,43.0,43.5,169640,BVH,2010-03-08,1.968998945958603,47.09210545391465,35.83789454608536,65.22387115390765,79.04176274660541,13.007265517094632,39.313333333333325,36.31836734693877,17.790000915527344,0.0
1599,1599,45.5,43.5,43.8,45.5,363710,BVH,2010-03-09,2.043929979279781,47.28836738879289,36.55163261120711,68.08321784677815,100.34951783383173,24.458628313343624,39.673333333333325,36.502,17.920000076293945,0.0
1633,1633,45.5,44.0,45.5,44.0,184070,BVH,2010-03-10,1.9617908845307848,47.330402188313386,37.10959781168661,64.00046376840757,87.66635230011538,24.458628313343628,39.97333333333333,36.64901960784314,18.56999969482422,0.0
1667,1667,44.0,42.0,42.9,42.0,107650,BVH,2010-03-11,1.7181989902281032,47.16102205070849,37.65897794929152,59.11118492896544,49.377916018662525,8.185513316559081,40.23,36.75192307692308,18.059999465942383,0.0
1701,1701,43.8,42.6,43.5,43.8,184140,BVH,2010-03-12,1.649101442643655,47.03942222418255,38.34057777581745,61.82632023612583,59.93350705364354,8.185513316559081,40.54,36.88490566037736,17.579999923706055,0.0
1735,1735,44.8,44.3,44.6,44.5,168690,BVH,2010-03-15,1.6311681146886483,46.870896777558784,39.13910322244121,62.81955147044084,79.08222688096896,14.567640853961974,40.86000000000001,37.025925925925925,18.0,0.0
1769,1769,44.4,42.6,42.6,42.6,290120,BVH,2010-03-16,1.4489670612764058,46.31449073028274,40.15550926971726,58.54257389637848,47.93348006847641,1.7186906327418443,41.09666666666667,37.127272727272725,17.690000534057617,0.0
1803,1803,43.4,42.6,43.0,43.0,683190,BVH,2010-03-17,1.3212088276810263,45.94555765692314,40.87444234307687,59.14830774196236,40.37879784295677,1.7186906327418527,41.38,37.23214285714285,16.90999984741211,0.0
1837,1837,43.3,43.0,43.0,43.0,626930,BVH,2010-03-18,1.2060460652095486,45.85367243255568,41.12632756744432,59.14830774196236,39.59402505805792,1.718690632741849,41.64,37.333333333333336,16.6200008392334,0.0
1871,1871,43.4,41.5,42.6,41.5,531800,BVH,2010-03-19,0.983687675557249,45.92105371447712,40.86894628552288,55.8722364619132,9.830833067347694,9.250697364554636,41.84,37.4051724137931,16.969999313354492,0.0
1905,1905,43.0,42.0,42.0,43.0,125480,BVH,2010-03-22,0.916744714884686,45.667634543614206,40.9023654563858,58.26361905258365,21.00161550888525,9.250697364554645,42.07333333333334,37.5,16.8700008392334,0.0
1939,1939,43.4,43.0,43.4,43.0,149440,BVH,2010-03-23,0.8538408184874413,45.667634543614206,40.9023654563858,58.26361905258365,32.66847246162676,5.774854011126744,42.29333333333333,37.59166666666667,16.350000381469727,0.0
1973,1973,43.5,43.1,43.5,43.4,157640,BVH,2010-03-24,0.8264571468935813,45.51152826596127,41.308471734038726,58.89924582727392,37.016549117226816,4.883099742906851,42.473333333333336,37.83166666666667,17.549999237060547,0.0
2007,2007,43.0,42.1,42.6,42.6,82870,BVH,2010-03-25,0.7322593296470359,45.51604740759507,41.273952592404925,57.10005521746593,-0.9502692429523184,12.746482269442607,42.62,38.04666666666667,18.399999618530277,0.0
2041,2041,44.0,43.0,43.1,44.0,4728660,BVH,2010-03-26,0.7609778193176737,45.3507548782395,41.3392451217605,59.34812274761195,48.69141813755309,3.591848151593858,42.81333333333334,38.26166666666666,17.770000457763672,0.0
2075,2075,44.2,42.7,44.2,42.7,53920,BVH,2010-03-29,0.6717903162608323,44.951545462515696,41.4584545374843,56.50386251168728,16.5090909090914,6.038503887266806,42.96333333333334,38.45,17.59000015258789,0.0
2109,2109,43.4,42.0,43.4,43.0,4649890,BVH,2010-03-30,0.6180388275236339,44.93826229514743,41.44173770485258,56.99587219085385,-25.29358626919537,11.632136560153883,43.13,38.66666666666666,17.1299991607666,0.0
2143,2143,43.3,42.5,43.0,42.6,145520,BVH,2010-03-31,0.5371551809894441,44.938817629910055,41.41118237008994,56.12027424924807,-40.752351097178405,11.632136560153883,43.23333333333333,38.86666666666667,17.59000015258789,0.0
2177,2177,43.0,42.6,42.6,43.0,53240,BVH,2010-04-01,0.4994006969090705,44.94110013463547,41.41889986536452,56.8067115181863,-44.5729840081663,11.63213656015388,43.28666666666666,39.04833333333333,17.469999313354492,0.0
2211,2211,43.3,42.5,42.5,43.1,55070,BVH,2010-04-05,0.439140559318588,44.91732176809796,41.41267823190204,56.986733648169896,-28.35538752362949,12.434721576797594,43.20333333333334,39.443333333333335,17.020000457763672,0.0
2245,2245,44.0,43.5,44.0,43.5,56740,BVH,2010-04-20,0.4463305205292442,44.44496948860336,41.68503051139663,57.71597154607572,49.813200498132055,4.438383513266706,43.220000000000006,39.635,15.729999542236328,0.0
2279,2279,44.3,43.6,43.6,44.3,194610,BVH,2010-04-21,0.5104402371348584,44.50843307600816,41.65156692399184,59.148897795099806,86.7405426060379,1.1429450699372707,43.333333333333336,39.84166666666667,16.31999969482422,0.0
2313,2313,45.2,44.0,44.0,45.0,163850,BVH,2010-04-22,0.6104827363468672,44.80359795574295,41.65640204425706,60.36469460805335,145.4742678076408,8.15123989396017,43.403333333333336,40.068333333333335,16.469999313354492,0.0
2347,2347,45.3,44.8,45.0,45.2,137290,BVH,2010-04-26,0.6977997980993962,45.09003087300705,41.50996912699294,60.71030839152381,169.02356902357025,9.142884033266403,43.41,40.29666666666667,17.469999313354492,0.0
2381,2381,47.0,45.3,46.0,47.0,338450,BVH,2010-04-27,0.9013927104196712,45.816101926111735,41.03389807388826,63.66052095946773,280.0000000000011,24.04510321546725,43.46000000000001,40.555,22.809999465942383,0.0
2415,2415,49.3,47.4,47.4,49.3,371920,BVH,2010-04-28,1.2335646043019253,47.27681674245372,40.24318325754629,66.94172655984666,361.9313647246611,38.60796261449092,43.66,40.861666666666665,21.07999992370605,0.0
2449,2449,49.8,48.6,49.3,49.0,180160,BVH,2010-04-29,1.45587266345035,48.26095227299749,39.85904772700251,66.13596028439547,302.4198657037884,41.22661266512273,43.86333333333334,41.13833333333333,18.440000534057617,0.0
2483,2483,50.0,49.0,50.0,49.0,232660,BVH,2010-05-04,1.6134421292763292,49.06851412477023,39.65148587522977,66.13596028439548,252.7851458885941,42.27935069778938,44.06666666666667,41.38833333333333,23.84000015258789,0.0
2517,2517,49.0,48.7,49.0,48.9,153600,BVH,2010-05-05,1.7105377200629874,49.65046210923568,39.809537890764325,65.85320265180053,195.16658845612395,38.30707891164072,44.266666666666666,41.62,24.90999984741211,0.0
2551,2551,48.8,48.0,48.5,48.5,209870,BVH,2010-05-06,1.7352666306327578,50.12892735886746,39.88107264113255,64.7084260157782,154.58627325208494,29.30286681940589,44.43333333333333,41.873333333333335,32.79999923706055,0.0
2585,2585,48.5,47.5,48.5,48.5,310500,BVH,2010-05-07,1.7348592142479973,50.53941761835031,40.02058238164969,64.7084260157782,129.3954958514414,23.179699758605267,44.53333333333333,42.10333333333333,40.95000076293945,0.0
2619,2619,49.0,48.0,49.0,48.5,354270,BVH,2010-05-10,1.7147637138582326,50.90402421792217,40.16597578207784,64.7084260157782,124.81936416184917,26.881061475484547,44.68333333333333,42.32833333333333,28.84000015258789,0.0
2653,2653,49.0,48.6,49.0,48.7,1110500,BVH,2010-05-11,1.6954004090646535,51.20004713255034,40.47995286744965,65.04477930539699,119.13161465400285,26.881061475484557,44.906666666666666,42.56833333333334,28.31999969482422,0.0
2687,2687,48.7,48.4,48.7,48.4,330380,BVH,2010-05-12,1.6370101214935031,51.4630790442023,40.6569209557977,64.09685020542928,100.389455727574,24.146994668107645,45.06,42.8,25.520000457763672,0.0
2721,2721,50.5,48.3,48.4,50.5,264070,BVH,2010-05-13,1.7398828407633928,51.95693342882199,40.943066571178015,67.52410103063426,122.2944368254728,37.171847223056034,45.26,43.06,26.68000030517578,0.0
2755,2755,50.5,50.0,50.5,50.0,210090,BVH,2010-05-14,1.7608150723489828,52.2733805583794,41.32661944162059,65.97295305888335,119.81631733153012,37.171847223056034,45.50666666666667,43.30166666666666,31.239999771118164,0.0
2789,2789,50.0,47.7,50.0,50.0,108900,BVH,2010-05-17,1.757144398184046,52.44480605779702,41.89519394220299,65.97295305888335,88.43686605625284,9.674620916255886,45.74,43.56,30.84000015258789,0.0
2823,2823,50.0,47.6,50.0,48.5,595400,BVH,2010-05-18,1.6147196974095124,52.36605037996047,42.523949620039545,61.44163107651767,69.91755261444996,8.662252784935545,45.92333333333333,43.78166666666666,33.54999923706055,0.0
2857,2857,48.6,48.5,48.5,48.5,212470,BVH,2010-05-19,1.4847304094701244,52.18912213209516,43.250877867904855,61.44163107651767,61.39483800109822,8.662252784935538,46.156666666666666,43.99833333333333,35.31999969482422,0.0
2891,2891,48.5,46.1,46.1,48.5,36980,BVH,2010-05-20,1.3659655552370822,51.90160217544566,44.07839782455434,61.44163107651766,37.61622992392209,13.28842890900942,46.34,44.20666666666666,45.790000915527344,0.0
2925,2925,47.4,46.1,46.1,46.1,87360,BVH,2010-05-21,1.0660699641283102,51.54596893708898,44.694031062911016,54.77739837113988,5.375870274081255,13.288428909009408,46.443333333333335,44.36833333333334,40.09999847412109,0.0
2959,2959,46.1,43.8,44.0,43.8,61110,BVH,2010-05-24,0.6356401059230024,51.64344665793561,44.54655334206439,49.45909138724246,-48.60529151203156,28.99561721507148,46.45666666666666,44.465,38.31999969482422,0.0
