,date,close,open,high,low,volumn,change
2483,2012-05-07,486.31,481.95,486.31,481.05,100.55K,2.10%
2482,2012-05-08,488.07,488.6,492.44,486.25,133.18K,0.36%
2481,2012-05-09,487.62,488.19,490.49,485.33,113.92K,-0.09%
2480,2012-05-10,486.07,490.03,491.35,482.68,134.65K,-0.32%
2479,2012-05-11,480.1,487.68,488.13,479.87,114.30K,-1.23%
2478,2012-05-14,469.69,477.73,483.15,469.69,110.42K,-2.17%
2477,2012-05-15,455.65,462.97,467.63,455.47,97.22K,-2.99%
2476,2012-05-16,449.91,455.75,458.57,446.38,86.46K,-1.26%
2475,2012-05-17,442.58,449.77,453.72,442.58,77.75K,-1.63%
2474,2012-05-18,434.95,439.69,440.24,430.29,80.36K,-1.72%
2473,2012-05-21,448.02,438.53,448.19,437.72,77.33K,3.00%
2472,2012-05-22,447.94,451.32,453.7,446.84,84.44K,-0.02%
2471,2012-05-23,436.75,443.6,446.2,436.75,66.02K,-2.50%
2470,2012-05-24,426.92,431.39,435.59,425.65,58.04K,-2.25%
2469,2012-05-25,437.38,432.62,438.42,431.01,77.82K,2.45%
2468,2012-05-28,435.48,443.24,443.24,433.42,66.81K,-0.43%
2467,2012-05-29,431.44,431.75,432.91,429.11,47.68K,-0.93%
2466,2012-05-30,435.34,433.29,437.31,432.39,49.05K,0.90%
2465,2012-05-31,429.2,431.84,433.94,428.52,48.18K,-1.41%
2464,2012-06-01,428.8,430.75,432.27,427.98,72.18K,-0.09%
2463,2012-06-04,416.65,426.91,427.58,416.65,143.32K,-2.83%
2462,2012-06-05,421.02,413.96,421.02,413.58,101.79K,1.05%
2461,2012-06-06,426.39,421.09,427.17,420.81,91.50K,1.28%
2460,2012-06-07,434.41,431.14,436.68,428.61,71.30K,1.88%
2459,2012-06-08,432.9,439.02,441.46,432.9,82.63K,-0.35%
2458,2012-06-11,432.5,432.15,435.86,430.28,68.13K,-0.09%
2457,2012-06-12,428.16,432.89,432.89,428.04,57.13K,-1.00%
2456,2012-06-13,427.61,429.73,429.73,424.86,84.09K,-0.13%
2455,2012-06-14,425.28,425.74,428.59,424.05,46.93K,-0.54%
2454,2012-06-15,433.09,425.62,433.09,425.62,72.65K,1.84%
2453,2012-06-18,435.59,436.89,439.29,433.75,59.25K,0.58%
2452,2012-06-19,431.08,434.04,435.11,430.23,68.59K,-1.04%
2451,2012-06-20,432.89,431.8,434.16,429.2,34.00K,0.42%
2450,2012-06-21,431.14,432.27,433.49,430.83,43.84K,-0.40%
2449,2012-06-22,427.17,429.95,430.19,426.5,51.73K,-0.92%
2448,2012-06-25,424.12,426.54,429.81,422.95,62.79K,-0.71%
2447,2012-06-26,419.19,421.17,421.76,417.92,50.52K,-1.16%
2446,2012-06-27,418.04,419.78,422.17,418.0,43.90K,-0.27%
2445,2012-06-28,418.16,418.04,418.78,415.34,42.93K,0.03%
2444,2012-06-29,422.37,420.76,422.37,418.49,55.76K,1.01%
2443,2012-07-02,419.3,421.94,424.95,418.18,38.61K,-0.73%
2442,2012-07-03,413.09,416.47,417.21,411.86,43.27K,-1.48%
2441,2012-07-04,410.73,413.41,416.03,410.73,27.63K,-0.57%
2440,2012-07-05,413.83,410.85,413.83,408.43,31.52K,0.75%
2439,2012-07-06,415.44,414.01,417.97,413.53,43.33K,0.39%
2438,2012-07-09,408.12,413.59,414.39,407.51,31.97K,-1.76%
2437,2012-07-10,405.39,406.4,409.86,405.39,28.74K,-0.67%
2436,2012-07-11,407.28,405.29,408.21,405.07,22.77K,0.47%
2435,2012-07-12,408.72,406.5,409.7,406.18,43.56K,0.35%
2434,2012-07-13,416.98,409.85,416.98,409.85,55.75K,2.02%
2433,2012-07-16,413.98,417.54,418.78,413.28,41.74K,-0.72%
2432,2012-07-17,417.55,411.72,418.5,411.72,48.14K,0.86%
2431,2012-07-18,418.83,418.19,419.91,416.1,49.40K,0.31%
