<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LGC,20190618,27.1930,27.1930,27.1930,27.1930,0
LGC,20190619,29.0936,29.0936,29.0936,29.0936,20
LGC,20190620,29.0936,29.0936,29.0936,29.0936,0
LGC,20190621,29.0936,29.0936,29.0936,29.0936,0
LGC,20190624,29.0936,29.0936,29.0936,29.0936,0
LGC,20190625,29.0936,29.0936,29.0936,29.0936,0
LGC,20190626,29.0936,31.0917,27.0955,31.0916,40
LGC,20190627,31.0916,31.0916,31.0916,31.0916,0
LGC,20190628,33.2358,33.2359,33.2358,33.2359,10
LGC,20190701,34.8928,35.5264,34.8928,35.5263,20
LGC,20190702,33.0409,33.0409,33.0409,33.0409,50
LGC,20190703,30.7505,35.1851,30.7505,30.7505,190
LGC,20190704,30.7505,30.7505,30.7505,30.7505,0
LGC,20190705,32.8948,32.8948,32.8947,32.8947,10
LGC,20190708,30.6043,32.8460,30.6043,30.6043,120
LGC,20190709,28.5088,28.5088,28.5088,28.5088,170
LGC,20190710,30.4581,30.4581,30.4581,30.4581,10
LGC,20190711,28.3626,32.5536,28.3626,32.5536,660
LGC,20190712,34.7953,34.7953,30.3119,30.3119,130
LGC,20190715,28.2164,32.4074,28.2164,32.4074,6070
LGC,20190716,30.1657,34.6491,30.1657,34.6491,4450
LGC,20190717,32.2612,34.6491,32.2612,34.6491,1130
LGC,20190718,32.2612,34.0156,32.2612,34.0156,1620
LGC,20190719,31.6764,33.5283,31.6764,31.7739,1020
LGC,20190722,31.7739,33.6258,29.6296,33.6257,790
LGC,20190723,35.9649,35.9649,35.9649,35.9649,1310
LGC,20190724,35.9649,35.9649,35.9649,35.9649,0
LGC,20190725,35.9649,35.9649,35.9649,35.9649,0
LGC,20190726,35.9649,35.9649,35.9649,35.9649,0
LGC,20190729,34.8928,38.4503,34.0156,38.4503,1250
LGC,20190730,38.4503,38.4503,38.4503,38.4503,20
LGC,20190731,38.4503,38.4503,38.4503,38.4503,10
LGC,20190801,38.4503,38.4503,38.4503,38.4503,10
LGC,20190802,38.4503,38.4503,38.4503,38.4503,0
LGC,20190805,35.7700,35.7700,35.7700,35.7700,10
LGC,20190806,33.2846,33.2846,33.2846,33.2846,10
LGC,20190807,33.2846,35.5750,33.2846,35.5750,130
LGC,20190808,35.5750,35.5750,35.5750,35.5750,20
LGC,20190809,38.0604,38.0604,33.0896,38.0604,1110
LGC,20190812,40.6432,40.6433,40.6432,40.6433,600
LGC,20190813,40.6433,40.6433,40.6433,40.6433,1860
LGC,20190814,42.8850,42.8850,42.8850,42.8850,50
LGC,20190815,43.8597,43.8597,43.8596,43.8596,10
LGC,20190816,43.3235,43.3236,43.3235,43.3236,10
LGC,20190819,40.3022,43.2749,40.3022,43.2749,20
LGC,20190820,40.2535,42.9825,40.2535,42.9825,20
LGC,20190821,42.9825,42.9825,42.9825,42.9825,0
LGC,20190822,42.9825,42.9825,42.9825,42.9825,10
LGC,20190823,42.8850,42.8850,42.8850,42.8850,300
LGC,20190826,42.8850,42.8850,42.8850,42.8850,0
LGC,20190827,42.8850,42.8850,42.8850,42.8850,0
LGC,20190828,42.8850,42.8850,42.8850,42.8850,0
LGC,20190829,42.8850,42.8850,42.8850,42.8850,0
LGC,20190830,42.8850,43.8597,42.8850,43.8596,17690
LGC,20190903,43.8596,43.8596,43.8596,43.8596,0
LGC,20190904,43.8596,46.9298,43.8596,45.7602,20570
LGC,20190905,42.5926,42.5926,42.5926,42.5926,10
LGC,20190906,42.5926,42.5926,42.5926,42.5926,0
LGC,20190909,42.5926,42.5926,42.5926,42.5926,0
LGC,20190910,42.5926,42.5926,42.5926,42.5926,0
LGC,20190911,39.6199,39.6199,39.6199,39.6199,10
LGC,20190912,38.0117,38.0117,38.0117,38.0117,10
LGC,20190913,40.6433,40.6433,35.3801,35.3801,20
LGC,20190916,33.1384,35.3801,32.9435,35.3801,380
LGC,20190917,35.3801,35.3801,35.3801,35.3801,0
LGC,20190918,33.0409,35.5750,33.0409,35.5750,1020
LGC,20190919,35.5750,35.5750,35.5750,35.5750,10
LGC,20190920,38.0604,38.0604,38.0604,38.0604,20
LGC,20190923,36.0624,36.0624,36.0624,36.0624,20
LGC,20190924,36.0624,36.0624,36.0624,36.0624,0
LGC,20190925,36.0624,36.0624,36.0624,36.0624,0
LGC,20190926,36.0624,36.0624,36.0624,36.0624,0
LGC,20190927,36.0624,36.0624,36.0624,36.0624,0
LGC,20190930,35.7700,35.7700,35.7700,35.7700,20
LGC,20191001,38.0117,38.0117,38.0117,38.0117,20
LGC,20191002,38.0117,38.0117,38.0117,38.0117,10
