,tic,date,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
45,^VNINDEX,2000-11-13,156.84,156.84,156.84,156.84,21700,8.499868037501301,158.94872934971258,112.74527065028744,94.14793053649248,161.4317163299001,93.79173074311204,129.46333333333334,123.085,29.059999465942383,0.0
46,^VNINDEX,2000-11-15,159.6,159.6,159.6,159.6,13400,9.03461259257216,162.04664228711974,113.53635771288029,94.54112001911956,160.42477438774404,94.39642653492436,131.03300000000002,123.86191489361703,26.149999618530273,0.0
47,^VNINDEX,2000-11-17,162.36,162.36,162.36,162.36,35350,9.565153597890884,165.10999701600105,114.61700298399894,94.8958814742426,159.40211666750267,94.92484656840826,132.69866666666667,124.66395833333333,24.809999465942383,0.0
48,^VNINDEX,2000-11-20,165.7,165.7,165.7,165.7,63910,10.132035244318814,168.2298253802575,115.95317461974254,95.27989390550069,160.53955111536868,95.47663989996092,134.41833333333335,125.50142857142856,27.43000030517578,0.0
49,^VNINDEX,2000-11-22,165.52,165.52,165.52,165.52,136700,10.446116151410052,170.63518085583536,117.87881914416464,94.8819175405267,145.62183577681677,94.25989327183346,136.06633333333335,126.3018,27.709999084472656,0.0
50,^VNINDEX,2000-11-24,166.17,166.17,166.17,166.17,117420,10.6236223539494,172.70947671480124,119.98852328519872,94.96055025052435,135.70378741464734,94.3945779373909,137.67066666666668,127.08352941176472,26.0,0.0
51,^VNINDEX,2000-11-27,165.6,165.6,165.6,165.6,90400,10.596558942284759,174.25645043094343,122.35654956905657,93.65524280656345,122.09011380064496,90.21089495414483,139.251,127.82423076923077,26.93000030517578,0.0
52,^VNINDEX,2000-11-29,168.73,168.73,168.73,168.73,76800,10.700059861821217,176.04835357850624,124.58064642149377,94.1147842848038,125.4881600036118,91.30885108987398,140.935,128.59603773584905,27.489999771118164,0.0
53,^VNINDEX,2000-12-01,171.87,171.87,171.87,171.87,43300,10.905747825130618,178.0883324158893,126.6566675841107,94.5262231962799,128.11449389108205,92.24198049395169,142.70533333333333,129.3974074074074,27.479999542236328,0.0
54,^VNINDEX,2000-12-04,175.0,175.0,175.0,175.0,28500,11.188636662990064,180.36736249296365,128.59263750703633,94.8942982344604,130.49271069507864,93.03841686208268,144.57266666666666,130.22654545454546,27.780000686645508,0.0
55,^VNINDEX,2000-12-06,178.13,178.13,178.13,178.13,60200,11.52904062347804,182.87954081475996,130.38945918524004,95.22636237987271,132.70044024505944,93.72683259805657,146.52066666666667,131.0819642857143,25.06999969482422,0.0
56,^VNINDEX,2000-12-08,181.26,181.26,181.26,181.26,188420,11.910865161374801,185.52526194719684,132.21473805280317,95.52728901886995,134.8402118146415,94.32655880692388,148.53900000000002,131.9622807017544,22.40999984741211,0.0
57,^VNINDEX,2000-12-11,189.94,189.94,189.94,189.94,125400,12.759010426250569,189.5194692526565,133.50653074734345,96.21228380045312,156.6990615502788,95.57937848923554,150.83966666666666,132.96189655172412,23.510000228881836,0.0
58,^VNINDEX,2000-12-13,184.48,184.48,184.48,184.48,106000,12.846543551838806,191.55802084024765,135.95897915975235,87.49290695787045,125.6060394797124,70.29356851714505,152.95100000000002,133.8350847457627,23.6299991607666,0.0
59,^VNINDEX,2000-12-15,187.62,187.62,187.62,187.62,49300,13.016685318400874,193.64863360930707,138.54636639069292,88.13273857375208,129.0000661769572,72.48077931095033,155.13133333333334,134.7315,26.549999237060547,0.0
